Attendance (%),Assignment Completion (%),Test Score (25%),Practical Score (25%),Exam Score (50%),Performance,Age,Gender,Marital Status,Children (if Married),Mother Education,Father Education,Relationship with Student,Extracurricular Activities,Online Time (Daily),Family Relationship,Free Time Activities,Alcoholic Consumption,Religious Programs (Weekly),Computer/Laptop Access (for Practicals)
93,94,16,25,31,A,23,Female,Married,5,Bachelor's Degree,High School,Mother,Yes,7,Average,Watching TV,Moderate,2,No
75,73,9,22,8,E,20,Female,Married,1,Master's Degree,Bachelor's Degree,Aunty,Yes,8,Average,Watching TV,High,6,Yes
69,63,13,19,17,D,25,Female,Engaged,0,Bachelor's Degree,Doctorate,Uncle,Yes,3,Good,Watching TV,High,1,Yes
80,90,15,11,39,B,22,Female,Married,4,Bachelor's Degree,Doctorate,Uncle,No,3,Poor,Reading,High,7,Yes
81,85,21,15,39,A,25,Female,Single,0,College,High School,Uncle,No,3,Poor,Socializing,High,0,Yes
85,99,21,16,37,A,24,Female,Engaged,0,Bachelor's Degree,High School,Uncle,Yes,5,Poor,Watching TV,Low,1,Yes
76,90,11,21,39,A,18,Male,Single,0,Doctorate,Bachelor's Degree,Brother,Yes,8,Average,Socializing,High,6,Yes
91,90,15,25,43,A,23,Male,Married,0,Bachelor's Degree,College,Aunty,No,6,Average,Socializing,High,2,No
77,90,12,19,25,C,25,Male,Single,0,Doctorate,Bachelor's Degree,Father,No,3,Poor,Socializing,High,2,No
94,86,10,24,44,A,25,Male,Single,0,Doctorate,College,Aunty,No,0,Average,Watching TV,Low,7,No
86,93,22,11,20,C,24,Female,Married,1,Master's Degree,Doctorate,Mother,Yes,6,Good,Socializing,Low,1,Yes
95,89,21,13,16,C,18,Female,Engaged,0,Doctorate,College,Aunty,No,2,Average,Socializing,Moderate,1,No
93,88,23,19,41,A,23,Male,Single,0,Bachelor's Degree,Bachelor's Degree,Sister,Yes,0,Poor,Watching TV,High,6,No
76,89,24,17,28,B,25,Female,Married,4,High School,Master's Degree,Mother,No,8,Average,Reading,High,5,No
92,89,9,20,35,B,20,Female,Engaged,0,Doctorate,Master's Degree,Sister,Yes,1,Average,Watching TV,High,1,No
72,69,20,14,9,D,19,Female,Married,4,Bachelor's Degree,High School,Father,No,7,Average,Watching TV,High,6,No
88,94,17,21,46,A,18,Male,Married,1,Master's Degree,Doctorate,Uncle,Yes,1,Average,Socializing,Moderate,6,No
67,69,20,12,9,D,19,Male,Single,0,College,Doctorate,Uncle,Yes,0,Poor,Reading,High,0,Yes
80,87,14,13,30,C,23,Female,Married,0,College,High School,Uncle,No,2,Poor,Sports,Low,1,No
94,79,20,13,33,B,23,Male,Engaged,0,College,Doctorate,Aunty,Yes,7,Good,Reading,Low,1,No
95,77,23,18,25,B,21,Female,Engaged,0,High School,College,Uncle,No,4,Poor,Watching TV,High,5,Yes
71,67,11,25,8,D,21,Female,Married,5,Doctorate,Doctorate,Uncle,No,7,Average,Reading,High,3,Yes
73,75,8,18,14,D,20,Female,Engaged,0,High School,College,Uncle,Yes,6,Average,Watching TV,Moderate,0,Yes
99,75,21,14,22,C,22,Male,Engaged,0,College,High School,Mother,Yes,8,Good,Watching TV,High,7,Yes
90,96,21,20,19,B,19,Male,Single,0,Master's Degree,College,Mother,No,8,Poor,Reading,High,1,Yes
84,89,22,9,49,A,19,Female,Engaged,0,Bachelor's Degree,High School,Mother,Yes,5,Poor,Socializing,Low,7,No
75,74,10,14,10,E,20,Female,Single,0,College,Master's Degree,Uncle,No,4,Poor,Socializing,High,5,No
76,79,11,16,40,B,19,Male,Single,0,Master's Degree,Bachelor's Degree,Aunty,No,8,Average,Sports,High,5,No
83,76,15,19,21,C,22,Male,Single,0,Doctorate,College,Aunty,Yes,8,Average,Watching TV,High,2,No
75,98,24,9,35,B,21,Male,Engaged,0,Bachelor's Degree,High School,Father,Yes,3,Poor,Sports,Low,0,No
60,64,15,12,14,D,25,Female,Engaged,0,Bachelor's Degree,Bachelor's Degree,Sister,Yes,1,Average,Reading,Moderate,1,No
78,75,19,23,26,B,23,Female,Single,0,Bachelor's Degree,High School,Aunty,Yes,9,Average,Socializing,Moderate,6,No
91,80,19,23,19,B,21,Male,Single,0,Master's Degree,High School,Father,Yes,9,Average,Reading,Moderate,1,Yes
78,84,13,11,33,C,18,Female,Married,2,Bachelor's Degree,Doctorate,Sister,Yes,7,Poor,Watching TV,Moderate,3,Yes
99,85,17,15,46,A,22,Female,Single,0,High School,Bachelor's Degree,Uncle,Yes,9,Average,Reading,High,6,No
83,87,10,14,40,B,18,Female,Single,0,Doctorate,Bachelor's Degree,Aunty,Yes,3,Good,Watching TV,High,6,No
96,92,25,19,14,C,23,Male,Married,3,Doctorate,Doctorate,Sister,No,5,Good,Watching TV,Moderate,2,No
77,76,18,13,36,B,21,Female,Engaged,0,Master's Degree,Master's Degree,Father,No,9,Average,Socializing,Low,4,Yes
81,76,13,23,39,A,24,Male,Married,3,Doctorate,Doctorate,Father,Yes,8,Poor,Watching TV,High,2,Yes
94,79,21,8,26,C,21,Male,Married,2,Doctorate,Bachelor's Degree,Father,Yes,1,Average,Socializing,Low,3,Yes
86,88,13,20,18,C,23,Female,Married,5,High School,High School,Mother,No,6,Good,Sports,High,4,No
88,88,15,19,28,B,24,Female,Single,0,Master's Degree,College,Uncle,No,9,Poor,Watching TV,Moderate,3,Yes
90,94,25,18,30,A,19,Male,Single,0,Bachelor's Degree,Master's Degree,Uncle,No,8,Poor,Watching TV,High,3,No
86,94,20,25,8,C,23,Female,Married,4,High School,Doctorate,Sister,No,2,Poor,Socializing,Low,4,No
84,76,10,23,23,C,20,Female,Engaged,0,Doctorate,Master's Degree,Sister,No,1,Good,Sports,High,1,Yes
84,81,9,13,40,B,22,Male,Engaged,0,College,Doctorate,Sister,No,3,Good,Reading,Low,4,Yes
87,89,12,24,23,C,24,Male,Single,0,Master's Degree,High School,Sister,Yes,1,Good,Sports,Moderate,5,No
83,99,23,9,45,A,22,Male,Married,4,College,College,Father,Yes,6,Poor,Socializing,Moderate,7,Yes
79,78,21,15,42,A,22,Male,Single,0,High School,High School,Father,No,0,Poor,Watching TV,High,5,Yes
75,98,17,21,12,C,25,Male,Single,0,College,High School,Sister,Yes,7,Average,Sports,Low,1,No
97,79,19,24,50,A,19,Male,Married,0,College,Master's Degree,Brother,Yes,3,Good,Watching TV,Moderate,1,No
76,94,13,11,32,C,19,Male,Engaged,0,Master's Degree,College,Mother,Yes,4,Average,Sports,Low,2,No
97,96,22,21,24,B,22,Female,Married,1,College,Bachelor's Degree,Mother,Yes,2,Poor,Reading,High,0,Yes
68,75,15,8,24,D,21,Male,Married,1,High School,Doctorate,Aunty,No,6,Poor,Sports,Moderate,0,No
90,77,14,24,38,A,25,Female,Engaged,0,Doctorate,High School,Uncle,Yes,8,Average,Reading,Moderate,1,Yes
92,89,16,11,31,C,25,Male,Married,4,Doctorate,Doctorate,Uncle,No,8,Good,Sports,High,5,No
89,89,12,20,41,A,18,Male,Married,4,College,College,Father,No,1,Good,Sports,Low,7,Yes
91,78,12,12,49,A,20,Female,Married,0,Doctorate,Bachelor's Degree,Father,No,0,Average,Sports,Low,3,No
80,92,10,13,39,B,20,Male,Single,0,Bachelor's Degree,Doctorate,Mother,No,1,Good,Sports,Moderate,2,Yes
77,75,18,16,24,C,22,Male,Engaged,0,College,High School,Brother,Yes,7,Poor,Sports,High,0,No
86,85,10,21,29,B,22,Female,Engaged,0,College,Master's Degree,Sister,Yes,4,Average,Reading,Low,4,No
98,98,14,14,42,A,22,Female,Engaged,0,High School,High School,Sister,Yes,6,Poor,Socializing,High,4,No
77,81,24,11,34,B,22,Male,Engaged,0,College,Bachelor's Degree,Uncle,Yes,9,Good,Watching TV,High,4,Yes
75,89,22,18,25,B,23,Male,Single,0,High School,Master's Degree,Aunty,Yes,8,Poor,Reading,Low,7,Yes
96,84,9,13,45,B,19,Female,Married,1,High School,Doctorate,Uncle,Yes,7,Good,Watching TV,Moderate,3,Yes
82,97,25,10,49,A,25,Male,Engaged,0,College,Doctorate,Brother,No,5,Good,Watching TV,High,0,No
92,78,15,20,50,A,22,Female,Married,0,Doctorate,College,Uncle,Yes,8,Good,Reading,Moderate,3,No
79,99,14,19,49,A,24,Male,Married,4,Master's Degree,Bachelor's Degree,Brother,Yes,8,Good,Reading,Moderate,1,Yes
69,75,10,13,13,E,25,Male,Engaged,0,College,College,Brother,Yes,9,Average,Sports,High,1,No
73,74,12,10,15,E,24,Female,Engaged,0,Master's Degree,Doctorate,Brother,No,0,Poor,Socializing,Moderate,7,Yes
71,64,10,19,11,D,19,Female,Married,0,Bachelor's Degree,Bachelor's Degree,Uncle,No,3,Poor,Reading,Low,2,No
96,83,19,8,41,B,22,Female,Single,0,College,Bachelor's Degree,Sister,Yes,2,Poor,Sports,High,3,No
82,92,19,10,21,C,24,Male,Married,0,Doctorate,Doctorate,Brother,No,7,Average,Sports,Moderate,6,No
89,86,9,25,24,C,21,Male,Engaged,0,Bachelor's Degree,Master's Degree,Father,Yes,6,Average,Watching TV,High,0,No
65,73,12,8,29,D,18,Female,Married,1,College,Master's Degree,Sister,No,3,Good,Watching TV,Moderate,0,No
90,88,22,25,26,A,23,Male,Single,0,Doctorate,Master's Degree,Brother,No,5,Good,Sports,Moderate,3,Yes
68,60,17,15,16,D,20,Female,Married,2,College,High School,Brother,No,0,Average,Sports,High,4,Yes
75,75,17,22,45,A,25,Female,Married,0,College,Master's Degree,Aunty,No,9,Good,Sports,High,4,No
85,87,14,11,26,C,19,Female,Married,2,Doctorate,High School,Mother,Yes,7,Good,Reading,High,1,No
91,76,23,17,15,C,19,Male,Engaged,0,College,High School,Father,No,3,Poor,Watching TV,Low,1,Yes
99,99,16,14,23,C,22,Female,Engaged,0,Master's Degree,Master's Degree,Sister,Yes,6,Good,Watching TV,High,5,No
78,96,22,17,49,A,18,Female,Engaged,0,High School,High School,Uncle,Yes,1,Average,Sports,Low,4,No
95,98,14,17,33,B,18,Male,Engaged,0,High School,High School,Sister,No,5,Average,Socializing,Low,5,No
89,93,20,14,30,B,23,Male,Married,5,College,College,Uncle,Yes,6,Poor,Watching TV,Moderate,0,Yes
99,88,17,11,47,A,19,Male,Single,0,Master's Degree,High School,Sister,No,2,Poor,Socializing,High,7,Yes
99,92,24,11,26,B,19,Female,Married,1,Bachelor's Degree,Master's Degree,Brother,No,3,Good,Sports,High,1,No
69,63,14,16,17,D,19,Female,Married,4,College,Bachelor's Degree,Aunty,No,4,Poor,Reading,High,4,No
76,78,25,23,42,A,25,Female,Married,3,High School,Bachelor's Degree,Sister,No,2,Good,Sports,Moderate,1,Yes
95,78,13,17,27,C,22,Female,Single,0,Doctorate,Master's Degree,Mother,Yes,3,Good,Watching TV,Low,3,Yes
75,82,10,22,23,C,22,Female,Married,2,High School,High School,Aunty,No,6,Good,Socializing,Moderate,7,Yes
61,64,16,10,13,E,25,Male,Single,0,Doctorate,College,Brother,No,3,Good,Reading,Moderate,5,Yes
99,84,12,20,25,C,19,Female,Married,3,College,Doctorate,Mother,No,1,Good,Sports,Low,6,Yes
88,90,16,12,32,B,19,Female,Engaged,0,Doctorate,College,Aunty,No,5,Good,Reading,Low,4,No
97,82,24,8,49,A,18,Male,Engaged,0,Master's Degree,College,Brother,Yes,5,Average,Sports,High,7,No
75,62,22,14,12,D,25,Female,Single,0,Doctorate,College,Mother,Yes,0,Good,Watching TV,Moderate,5,Yes
87,78,14,23,22,C,20,Male,Single,0,College,Master's Degree,Mother,Yes,7,Average,Socializing,Low,4,No
62,71,12,14,15,D,25,Male,Married,0,College,Master's Degree,Father,No,9,Average,Watching TV,Moderate,6,No
92,85,25,11,25,B,19,Male,Engaged,0,Bachelor's Degree,College,Sister,No,2,Average,Reading,Low,4,Yes
92,91,24,12,21,C,21,Male,Engaged,0,High School,Bachelor's Degree,Sister,Yes,9,Poor,Watching TV,Moderate,5,Yes
87,87,25,22,47,A,18,Male,Single,0,High School,College,Brother,No,0,Poor,Watching TV,High,7,No
96,81,24,9,23,C,20,Female,Single,0,Bachelor's Degree,Master's Degree,Father,Yes,5,Poor,Reading,Moderate,7,Yes
77,86,22,15,20,C,19,Female,Single,0,College,Master's Degree,Mother,No,8,Poor,Reading,Low,2,Yes
77,76,14,20,37,A,22,Female,Married,0,Master's Degree,Bachelor's Degree,Brother,Yes,2,Average,Sports,High,6,Yes
78,75,18,14,32,B,21,Female,Married,0,High School,Doctorate,Aunty,No,1,Poor,Reading,Moderate,6,No
76,82,14,22,36,A,21,Female,Engaged,0,College,Bachelor's Degree,Mother,No,9,Good,Reading,Low,4,Yes
69,73,8,23,14,D,22,Male,Single,0,Doctorate,High School,Mother,Yes,3,Average,Reading,Moderate,5,Yes
92,83,25,22,23,A,23,Male,Engaged,0,Master's Degree,College,Father,Yes,4,Poor,Sports,Low,2,Yes
66,62,19,16,10,D,22,Female,Single,0,Bachelor's Degree,College,Brother,No,9,Poor,Reading,High,3,Yes
90,88,24,14,39,A,22,Male,Engaged,0,Bachelor's Degree,High School,Aunty,No,9,Average,Reading,Low,6,No
60,63,8,18,13,E,20,Male,Married,5,Master's Degree,Bachelor's Degree,Father,Yes,7,Good,Reading,High,6,Yes
69,67,24,9,11,D,18,Male,Engaged,0,Bachelor's Degree,Bachelor's Degree,Uncle,Yes,2,Good,Socializing,High,3,Yes
66,63,9,11,13,E,18,Female,Single,0,Doctorate,Master's Degree,Mother,No,7,Poor,Sports,Moderate,6,No
86,95,24,11,39,A,18,Male,Married,1,Master's Degree,Doctorate,Uncle,Yes,5,Average,Reading,Moderate,3,Yes
81,88,20,25,33,A,24,Female,Single,0,High School,High School,Father,Yes,2,Good,Reading,Low,4,No
90,94,12,17,43,A,23,Female,Married,1,College,High School,Uncle,No,6,Good,Socializing,Low,1,No
65,72,18,11,19,D,24,Female,Married,4,Doctorate,College,Uncle,Yes,0,Average,Socializing,Moderate,7,No
83,89,9,15,29,C,19,Male,Married,3,College,College,Father,Yes,3,Good,Sports,Low,4,No
87,98,13,15,23,C,18,Female,Single,0,Doctorate,Bachelor's Degree,Sister,No,8,Average,Sports,High,7,No
71,72,24,11,14,D,21,Female,Engaged,0,High School,Doctorate,Aunty,No,5,Poor,Reading,Low,0,No
89,91,23,19,39,A,18,Female,Single,0,Bachelor's Degree,Doctorate,Aunty,Yes,9,Good,Socializing,Low,3,No
90,87,20,14,20,C,24,Male,Engaged,0,College,Doctorate,Uncle,Yes,2,Average,Sports,High,7,No
96,91,17,24,31,A,24,Male,Engaged,0,Master's Degree,Bachelor's Degree,Brother,No,5,Average,Watching TV,Low,1,Yes
85,93,17,22,47,A,21,Female,Single,0,Doctorate,Bachelor's Degree,Sister,No,0,Average,Reading,Moderate,7,No
75,64,8,10,13,E,22,Female,Single,0,Doctorate,College,Father,Yes,2,Good,Sports,High,2,Yes
76,97,19,20,35,A,24,Male,Engaged,0,College,High School,Uncle,No,1,Good,Socializing,Low,1,Yes
63,69,13,16,10,E,19,Female,Married,4,College,High School,Mother,No,6,Poor,Sports,High,3,No
91,93,23,18,24,B,24,Female,Single,0,College,Master's Degree,Mother,Yes,5,Good,Socializing,Moderate,7,No
98,84,19,14,17,C,18,Female,Single,0,Doctorate,Doctorate,Uncle,Yes,5,Poor,Reading,High,0,Yes
76,94,21,15,50,A,18,Male,Single,0,College,College,Brother,No,3,Poor,Watching TV,High,0,Yes
79,81,13,20,27,B,18,Male,Married,0,Bachelor's Degree,Doctorate,Brother,No,0,Good,Socializing,High,1,No
67,69,12,17,16,D,19,Male,Married,2,Bachelor's Degree,Doctorate,Mother,Yes,1,Good,Reading,Low,6,No
78,81,12,13,49,A,25,Male,Single,0,Bachelor's Degree,Master's Degree,Sister,No,7,Average,Reading,Low,3,Yes
77,86,15,21,43,A,24,Male,Single,0,High School,High School,Uncle,Yes,9,Poor,Reading,Moderate,0,Yes
95,95,14,23,18,C,20,Female,Single,0,Bachelor's Degree,College,Brother,No,0,Average,Sports,Moderate,5,No
82,91,25,13,20,C,18,Male,Engaged,0,High School,Doctorate,Father,Yes,3,Good,Sports,Low,5,No
77,88,10,17,36,B,22,Female,Engaged,0,Doctorate,College,Mother,No,4,Good,Sports,Moderate,4,No
98,86,21,19,21,B,21,Female,Engaged,0,Bachelor's Degree,High School,Mother,No,9,Good,Socializing,Moderate,6,Yes
81,95,25,16,21,B,18,Female,Married,5,Doctorate,Master's Degree,Aunty,No,2,Poor,Watching TV,Low,4,No
81,79,18,24,48,A,19,Female,Engaged,0,Master's Degree,High School,Uncle,Yes,7,Poor,Socializing,Low,7,Yes
86,82,20,10,34,B,25,Female,Single,0,High School,Bachelor's Degree,Father,No,8,Good,Socializing,High,0,Yes
84,75,15,14,38,B,21,Male,Engaged,0,High School,Doctorate,Uncle,No,1,Poor,Socializing,Low,4,Yes
98,98,9,22,40,A,19,Female,Engaged,0,Doctorate,Doctorate,Uncle,No,9,Good,Socializing,Moderate,6,Yes
90,78,10,12,47,B,21,Female,Engaged,0,Master's Degree,College,Uncle,No,7,Average,Reading,Moderate,6,Yes
85,79,20,13,35,B,24,Male,Engaged,0,College,Doctorate,Brother,No,9,Poor,Reading,Low,4,Yes
99,78,19,10,47,A,23,Male,Single,0,High School,Doctorate,Father,Yes,2,Average,Watching TV,High,5,No
94,78,15,13,39,B,24,Female,Engaged,0,High School,Doctorate,Brother,Yes,7,Good,Watching TV,High,2,Yes
66,67,12,19,18,D,25,Male,Married,3,Master's Degree,High School,Father,No,1,Good,Sports,Moderate,1,No
75,81,9,22,21,C,18,Female,Engaged,0,High School,Master's Degree,Aunty,Yes,1,Poor,Watching TV,High,5,No
88,83,23,9,42,A,20,Male,Single,0,High School,Doctorate,Uncle,No,0,Average,Watching TV,Low,6,No
88,90,19,21,21,B,19,Female,Married,4,Doctorate,Bachelor's Degree,Brother,No,8,Good,Socializing,High,1,Yes
75,68,8,16,9,E,20,Male,Married,0,Doctorate,Doctorate,Father,No,7,Average,Sports,Low,4,No
94,92,16,10,31,C,25,Male,Single,0,Bachelor's Degree,Doctorate,Uncle,No,4,Average,Watching TV,Moderate,1,Yes
68,62,11,14,20,D,18,Female,Engaged,0,High School,High School,Father,No,6,Average,Watching TV,Moderate,2,No
93,80,15,13,48,A,24,Male,Single,0,College,Master's Degree,Father,No,5,Good,Reading,Low,0,Yes
75,95,13,25,41,A,24,Male,Single,0,Bachelor's Degree,College,Father,No,8,Good,Socializing,Low,4,No
79,87,10,20,30,B,23,Female,Single,0,Bachelor's Degree,High School,Sister,Yes,4,Poor,Reading,High,1,No
96,83,8,24,31,B,23,Male,Married,5,High School,Doctorate,Mother,No,5,Average,Socializing,Moderate,4,Yes
99,88,21,10,25,C,20,Male,Engaged,0,College,High School,Father,Yes,4,Poor,Sports,Moderate,7,No
97,91,22,20,12,C,20,Female,Married,2,Doctorate,Master's Degree,Mother,No,1,Good,Sports,High,6,No
66,74,18,11,10,E,25,Female,Engaged,0,Master's Degree,Master's Degree,Father,Yes,8,Average,Socializing,Moderate,3,No
84,77,24,22,37,A,20,Male,Single,0,Bachelor's Degree,High School,Uncle,Yes,0,Average,Reading,High,4,No
82,98,15,8,29,C,19,Male,Engaged,0,High School,College,Sister,Yes,3,Poor,Reading,High,7,No
98,96,15,17,49,A,18,Female,Engaged,0,Master's Degree,High School,Aunty,No,8,Average,Reading,Low,3,Yes
86,75,23,12,31,B,24,Female,Married,4,College,High School,Aunty,Yes,9,Good,Watching TV,Moderate,5,No
75,60,13,18,8,E,25,Female,Married,0,Doctorate,Doctorate,Aunty,Yes,4,Good,Watching TV,High,2,Yes
94,88,11,23,46,A,19,Male,Single,0,Master's Degree,Doctorate,Father,Yes,4,Good,Socializing,Moderate,4,Yes
91,88,11,11,37,C,25,Male,Engaged,0,College,Master's Degree,Brother,No,5,Poor,Reading,Low,7,No
92,95,10,20,35,B,21,Female,Married,1,Bachelor's Degree,College,Aunty,No,9,Poor,Socializing,High,1,No
83,82,13,22,42,A,23,Male,Single,0,College,Doctorate,Sister,Yes,7,Average,Watching TV,High,3,No
99,97,22,23,14,C,18,Female,Married,2,College,High School,Brother,Yes,3,Average,Reading,Moderate,5,No
61,71,14,22,8,D,20,Male,Single,0,College,Doctorate,Aunty,Yes,0,Poor,Reading,High,6,Yes
70,60,23,10,15,D,25,Male,Single,0,College,Master's Degree,Aunty,No,3,Good,Reading,Low,0,Yes
90,97,22,12,46,A,20,Female,Engaged,0,High School,Master's Degree,Mother,Yes,4,Average,Socializing,High,6,No
78,92,11,12,48,A,22,Female,Engaged,0,Master's Degree,Doctorate,Sister,No,4,Poor,Sports,Low,2,Yes
61,71,22,18,9,D,24,Female,Married,4,Bachelor's Degree,College,Mother,No,7,Poor,Sports,Moderate,2,Yes
78,76,9,22,22,C,18,Male,Married,0,College,Master's Degree,Uncle,No,6,Poor,Watching TV,High,1,No
62,62,13,12,13,E,25,Male,Engaged,0,Doctorate,Bachelor's Degree,Father,No,0,Good,Reading,Moderate,0,Yes
63,63,12,11,21,D,22,Male,Engaged,0,High School,College,Sister,No,4,Good,Watching TV,Moderate,1,Yes
96,83,19,8,34,B,21,Male,Engaged,0,Bachelor's Degree,High School,Mother,Yes,4,Average,Socializing,Low,4,Yes
85,84,21,11,28,B,24,Female,Married,3,Master's Degree,Bachelor's Degree,Brother,Yes,9,Good,Reading,Low,2,No
87,94,24,14,19,C,19,Female,Married,1,High School,High School,Father,No,3,Poor,Sports,High,1,Yes
73,70,14,8,24,D,23,Male,Engaged,0,College,Master's Degree,Sister,Yes,0,Average,Socializing,Moderate,1,No
88,88,8,23,21,C,21,Female,Engaged,0,Master's Degree,High School,Aunty,Yes,4,Good,Sports,Moderate,0,Yes
79,87,18,23,21,B,23,Male,Married,1,Master's Degree,College,Brother,Yes,9,Poor,Socializing,Moderate,1,No
73,64,11,20,15,D,19,Female,Engaged,0,College,Bachelor's Degree,Uncle,Yes,6,Average,Socializing,High,0,No
65,61,8,20,19,D,20,Female,Single,0,Doctorate,College,Mother,Yes,9,Good,Socializing,Moderate,0,Yes
74,74,22,12,9,D,24,Male,Married,3,Master's Degree,Master's Degree,Father,No,8,Good,Watching TV,Low,2,Yes
89,90,21,11,19,C,24,Male,Married,0,Master's Degree,Master's Degree,Aunty,No,4,Average,Socializing,Moderate,7,No
98,75,24,24,14,B,23,Male,Engaged,0,Bachelor's Degree,High School,Mother,No,7,Good,Socializing,Low,6,No
62,69,15,13,9,E,20,Female,Married,1,Doctorate,High School,Aunty,Yes,3,Average,Sports,Low,5,No
88,90,21,18,45,A,23,Male,Married,3,College,Doctorate,Father,No,5,Average,Reading,High,5,No
76,82,18,8,42,B,20,Female,Engaged,0,High School,College,Brother,Yes,2,Poor,Socializing,High,6,Yes
92,97,10,13,47,A,25,Male,Single,0,High School,College,Mother,No,0,Average,Sports,Moderate,0,Yes
72,74,9,9,13,E,21,Female,Married,4,College,Doctorate,Brother,Yes,1,Poor,Sports,Low,2,No
99,93,12,17,21,C,18,Female,Single,0,College,High School,Sister,No,7,Average,Reading,Low,1,No
75,67,12,14,23,D,22,Female,Married,0,Bachelor's Degree,Master's Degree,Uncle,No,0,Good,Watching TV,High,7,No
72,74,16,11,17,D,20,Female,Married,2,Master's Degree,College,Sister,Yes,3,Average,Sports,High,4,No
78,88,21,13,28,B,21,Male,Married,1,College,Bachelor's Degree,Aunty,No,1,Average,Sports,Low,3,Yes
64,61,9,12,27,D,22,Female,Engaged,0,High School,High School,Mother,Yes,1,Poor,Reading,High,2,No
92,81,18,10,38,B,21,Male,Single,0,College,Doctorate,Uncle,No,8,Average,Socializing,High,2,No
99,94,18,19,31,B,25,Female,Married,1,Doctorate,Master's Degree,Father,No,2,Good,Sports,Low,5,Yes
96,78,25,9,20,C,21,Male,Single,0,Bachelor's Degree,College,Brother,No,1,Poor,Sports,High,3,Yes
90,93,13,22,29,B,21,Female,Single,0,Doctorate,Master's Degree,Brother,Yes,9,Poor,Reading,Low,0,No
71,75,13,16,11,D,23,Female,Single,0,Bachelor's Degree,High School,Uncle,Yes,4,Average,Socializing,Low,1,Yes
79,99,18,16,23,C,19,Female,Married,2,High School,Master's Degree,Father,No,8,Poor,Sports,Moderate,6,No
87,94,24,24,29,A,25,Male,Married,0,High School,Doctorate,Aunty,No,0,Average,Watching TV,Low,4,Yes
92,93,9,15,42,B,21,Female,Single,0,High School,Master's Degree,Sister,Yes,5,Average,Sports,High,7,No
77,88,9,22,42,A,19,Female,Married,5,Bachelor's Degree,Bachelor's Degree,Aunty,No,9,Poor,Socializing,Moderate,6,No
89,88,16,23,23,B,18,Male,Single,0,Doctorate,College,Aunty,No,3,Poor,Reading,Moderate,5,No
86,95,22,12,42,A,24,Male,Married,0,Doctorate,High School,Aunty,No,1,Average,Sports,Moderate,4,No
77,76,23,21,27,A,21,Male,Single,0,Bachelor's Degree,Bachelor's Degree,Uncle,Yes,9,Average,Sports,Low,7,No
79,85,24,13,23,B,23,Male,Engaged,0,Master's Degree,College,Aunty,No,1,Good,Reading,High,6,Yes
68,72,24,13,9,D,24,Male,Married,3,Bachelor's Degree,College,Aunty,Yes,5,Average,Watching TV,Moderate,5,No
98,87,18,11,36,B,20,Female,Single,0,College,College,Brother,No,5,Poor,Watching TV,High,1,Yes
76,99,24,19,18,B,25,Female,Single,0,Doctorate,College,Father,Yes,9,Poor,Socializing,Moderate,5,Yes
95,77,10,16,35,B,25,Female,Married,0,High School,High School,Sister,Yes,3,Average,Socializing,Moderate,1,No
92,75,12,11,47,A,24,Female,Single,0,College,Doctorate,Father,No,9,Good,Reading,Moderate,6,Yes
78,93,10,21,31,B,25,Female,Engaged,0,Bachelor's Degree,College,Aunty,Yes,6,Average,Watching TV,High,5,Yes
65,66,17,11,12,D,21,Female,Single,0,Master's Degree,College,Brother,No,9,Good,Socializing,Moderate,7,No
76,76,11,20,38,B,25,Male,Single,0,Master's Degree,High School,Uncle,Yes,0,Average,Socializing,High,0,Yes
85,75,10,24,43,A,18,Female,Single,0,Master's Degree,Master's Degree,Mother,Yes,3,Average,Socializing,High,2,No
94,97,15,16,39,A,24,Female,Married,2,Master's Degree,Master's Degree,Aunty,No,5,Average,Socializing,Moderate,1,No
92,80,9,12,45,B,22,Female,Engaged,0,Doctorate,College,Mother,No,4,Good,Sports,High,5,Yes
73,71,10,8,13,E,23,Female,Engaged,0,Master's Degree,College,Mother,Yes,1,Good,Socializing,Moderate,7,No
92,82,16,23,46,A,23,Female,Single,0,College,Master's Degree,Brother,No,1,Good,Watching TV,Moderate,4,No
62,66,9,11,10,E,25,Male,Single,0,College,Bachelor's Degree,Brother,Yes,5,Poor,Reading,Low,2,No
92,94,13,14,50,A,25,Male,Engaged,0,High School,Master's Degree,Aunty,Yes,6,Average,Watching TV,High,0,Yes
82,94,25,11,36,A,18,Male,Single,0,College,Master's Degree,Aunty,No,6,Good,Sports,High,4,Yes
98,86,11,23,31,B,18,Female,Engaged,0,College,High School,Aunty,Yes,5,Good,Sports,Moderate,2,No
81,99,17,15,40,A,23,Male,Married,2,Master's Degree,High School,Uncle,Yes,9,Average,Sports,Moderate,0,No
76,94,20,10,26,C,24,Female,Engaged,0,Master's Degree,High School,Sister,No,6,Average,Socializing,High,4,Yes
96,81,17,15,43,A,19,Female,Married,1,Doctorate,Doctorate,Aunty,No,2,Average,Socializing,Low,3,Yes
96,83,9,13,35,C,23,Female,Single,0,Master's Degree,Doctorate,Sister,No,7,Good,Socializing,High,3,Yes
99,95,16,18,20,C,19,Female,Single,0,Master's Degree,Master's Degree,Sister,Yes,4,Average,Socializing,High,5,No
74,73,22,10,13,D,19,Female,Single,0,Master's Degree,Master's Degree,Mother,No,0,Poor,Watching TV,Moderate,0,Yes
